id,user_id,title,subject,category,content_ja,content_en,tips
1,1,商品の資料を請求する,Walnut Series EX-8000,問合せ・見積り,"弊社は東京でオフィス用品・機器を扱っている会社です。
御社のウェブサイトを拝見し、上記EX-8000に興味を持ちました。
この製品についてもっとよく知りたいと考えますので、詳しい資料をお送りください。","We are a company dealing in office goods and equipment in Tokyo.
We saw your website and are interested in the above-mentioned EX-8000.
We would like to know more about this product, so could you send some detailed information please ?","資料請求や問い合わせをする際に役立ちます。資料請求の文章ををシンプルにまとめました。
書き出し：自己紹介
主文：問い合わせのきっかけ
結び：問い合わせ内容"
2,1,資料請求に応じる,RE: Walnut Series EX-8000,問合せ・見積り,"弊社製品ウォルナットシリーズ EX-8000 についてお問い合わせいただきありがとうございます。
更に詳しい資料として製品カタログ1部をさっそく発送いたします。一両日中にはお手元に届くと思います。
ご質問等ありましたら、いつでもお気軽にお問い合わせください。","Thank you for your inquiry regarding our Walnut SeriesEX-8000.
We will immediately send you a copy of the product catalog containing more detailed information. It should reach you within a day or two.
If you have any questions, please feel free to contact us at any time.",問い合わせへの返信。
3,1,見積もりを依頼する,EX-8000-DK-3 and DK-6 Quotation,問合せ・見積り,"御社のカタログを受け取り、拝見しました。
EX-8000-DK-3, DK-6 の購入について検討しています。下記の数量にて見積もりをお願いいたします。
EX-8000-DK-3 : 20 台
EX-8000-DK-6 : 30 台
お返事お待ちしています。","We have received and looked through your catalog.
We are considering purchasing the EX-8000-DK-3 and DK-6. Could you send us a quotation for the following quotations?
EX-8000-DK-3 : 20 units
EX-8000-DK-6 : 30 units
We look forward to your reply.","期限を切る場合は以下の定型文が便利です。ご参考まで。
7月15日までにご回答いただけますと幸いです。
It would be appreciated if you could reply by July 15th."
4,1,見積もりを提示する,RE: Quotation for EX-8000-DK-3 and DK-6,問合せ・見積り,"見積もりのご依頼をいただきどうもありがとうございました。
弊社の見積もりは以下のとおりです。
EX-8000-DK-3 : 20 台　計：3,000 ドル
EX-8000-DK-6 : 30 台 　計：6,000 ドル
本見積もりは20XX年8月15日まで有効です。
私どものご提案にご満足いただけますことを願っております。ご注文をお待ちしております。","Thank you very much for requesting a quotation.
Our quotation is as follows.
EX-8000-DK-3 : 20 units Price: $3,000
EX-8000-DK-6 : 30 units Price: $6,000
* note : These prices do not include delivery costs. 
This quotation will be valid until August 15, 20XX.
We hope that you find our proposal to be satisfactory. We look forward to receiving you order.",見積もりを提示する場合、期限と注意点を箇条書きで明文化すると親切ですし、誤解を防ぐことができます。
5,1,商品を注文する,Order for PLANTER,"注文・受領
","6月14日付のお見積りを拝見しました。
次の通り正式に注文したいと思います。
PLANTER (ELEGANCE) 100 台
PLANTER (ANIMAL) 150 台
上記商品を航空便で弊社神戸営業所宛にお送りください。本日より2週間以内に発送していただければ幸いです。","We have looked over your quotation dated June 14.
I would like to officially place an order as follows.
PLANTER (ELEGANCE) 100 pieces
PLANTER (ANIMAL) 150 pieces
Could you please send the above-mentioned products to our Kobe sales office by airmail?
I would appreciate it if the products could be shipped within two weeks from today.","注文書を添付する場合は以下文章が使えます。ご参考まで。

注文する商品についての注文書を添付いたします。
I have attached an order form for the products we wish to order."
6,1,注文に応じる,RE: Order for PLANTER,注文・受領,"PLANTER (ELEGANCE) 100 台, PLANTER (ANIMAL) 150 台のご注文をいただきありがとうございました。
ご注文の商品は来週月曜日に出荷予定です。その他のご指示についても承知しました。
弊社製品をご用命いただき大変感謝いたします。今後ともよろしくお願いいたします。","Thank you for placing an order for 100 pieces of PLANTER (ELEGANCE) and 150 pieces of PLANTER (ANIMAL).
The products you ordered will be shipped on Monday of next week. In addition, your other request requests will also be met.
We appreciate your order very much and we look forward to having the opportunity to serve you again in the future.","以下 ご参考。
ご入金の確認が済み次第、発送いたします。
We will ship the products as soon as we have received payment."
7,1,注文内容を変更する,RE: Order for PLANTER,注文・受領,"6月18日付のメールでの注文を一部変更したいと思います。
PLANTER (ANIMAL) の在庫が少ないということなので、これをキャンセルして、代わりに PLANTER (NATURE) 150 台を注文します。
他の条件は変わりません。迅速に対応していただけると大変ありがたいです。","I would like to change part of the order I placed in my e-mail of June 18.
I want to cancel the order for PLANTER (ANIMAL) as there is not enough of it in stock, and instead order 150 pieces of PLANTER (NATURE).
Otherwise, there are no changes. I would be extremely grateful if you could process the order speedily.","参考まで。
いつも柔軟にご対応いただき大変感謝しています。
We appreciate very much your flexibility in accommodating our requests."
8,1,出荷・発送について知らせる,Regarding the shipping of your order,注文・受領,"ご注文の品は6月23日に出荷し7月3日に神戸着の予定です。
請求書は別途お送りします。受領後2週間以内にお支払いをお願いします。
発送品に関するご質問などありましたらご遠慮なくお問い合わせください。","The ordered items will be shipped on June 23 and are due to arrive in Kobe on July 3.
I will send the invoice separately. Please make payment within two weeks of receipt of the invoice.
If you have any questions regarding the delivered articles, please do not hesitate to contact me.","出荷の予定についてまとめています。以下文はなくてもいいかもしれないですが参考までに。

お手数ですが、商品がお手元に届きましたらその旨お知らせいただけませんか。
I’m sorry for the trouble, but could you let me know once the items arrive?"
9,1,納品物の代金を請求する,Request for payment,支払い,"4月分の請求書を添付してお送りいたします。
いつものように、請求書に記されている口座にご請求金額をお振込みください。
毎度ご利用いただきまして誠にありがとうございます。今後ともよろしくお願いいたします。","I am sending the invoice for April as an attached document.
AS always, please remit the billed amount to the bank account noted on the invoice.
Please accept our deep gratitude for once again using our services. We welcome the opportunity to serve you again in the future.","remit A to B : B に A(金銭) を送る 
支払期限を伝えたい場合は以下。

請求書受領後10日以内に代金をお支払いください。
We ask you to pay the amount within 10 days of receiving the invoice."
10,1,支払い完了を伝える,RE: Request for payment,支払い,"5月12日付の請求書を受け取りました。
ご指示の通り、5月19日に御社ご指定の口座へ送金いたしました。支払い金額は 45,000 ドル、送金番号は 654321 です。
送金の受領を確認され次第、ご連絡をいただければ幸いです。","We received the invoice you sent on May 12.
As instructed, we made a remittance to your indicated company bank account on May 19. The payment amount is $45,000 and the remittance number is 654321.
We would be grateful if you could let us know as soon as you confirm receipt of payment.","ここでは送金番号だけ書いていますが、国際送金の場合、相手が確認に必要となる送金情報(IBAN code, SWIFT number など)は漏らさず記入するほうがベターだと思います。"
